x1, x2, x3, x4, x5, x6, x7, x8, y
0.98, 0, 0.285714285714286, 0, 1, 0, 0, 0, 15.55
0.98, 0, 0.285714285714286, 0, 1, 0.333333333333333, 0, 0, 15.55
0.98, 0, 0.285714285714286, 0, 1, 0.666666666666667, 0, 0, 15.55
0.98, 0, 0.285714285714286, 0, 1, 1, 0, 0, 15.55
0.9, 0.166666666666667, 0.428571428571429, 0.111111111111111, 1, 0, 0, 0, 20.84
0.9, 0.166666666666667, 0.428571428571429, 0.111111111111111, 1, 0.333333333333333, 0, 0, 21.46
0.9, 0.166666666666667, 0.428571428571429, 0.111111111111111, 1, 0.666666666666667, 0, 0, 20.71
0.9, 0.166666666666667, 0.428571428571429, 0.111111111111111, 1, 1, 0, 0, 19.68
0.86, 0.25, 0.285714285714286, 0.333333333333333, 1, 0, 0, 0, 19.5
0.86, 0.25, 0.285714285714286, 0.333333333333333, 1, 0.333333333333333, 0, 0, 19.95
0.86, 0.25, 0.285714285714286, 0.333333333333333, 1, 0.666666666666667, 0, 0, 19.34
0.86, 0.25, 0.285714285714286, 0.333333333333333, 1, 1, 0, 0, 18.31
0.82, 0.333333333333333, 0.428571428571429, 0.333333333333333, 1, 0, 0, 0, 17.05
0.82, 0.333333333333333, 0.428571428571429, 0.333333333333333, 1, 0.333333333333333, 0, 0, 17.41
0.82, 0.333333333333333, 0.428571428571429, 0.333333333333333, 1, 0.666666666666667, 0, 0, 16.95
0.82, 0.333333333333333, 0.428571428571429, 0.333333333333333, 1, 1, 0, 0, 15.98
0.79, 0.416666666666667, 0.571428571428571, 0.333333333333333, 1, 0, 0, 0, 28.52
0.79, 0.416666666666667, 0.571428571428571, 0.333333333333333, 1, 0.333333333333333, 0, 0, 29.9
0.79, 0.416666666666667, 0.571428571428571, 0.333333333333333, 1, 0.666666666666667, 0, 0, 29.63
0.79, 0.416666666666667, 0.571428571428571, 0.333333333333333, 1, 1, 0, 0, 28.75
0.76, 0.5, 1, 0.111111111111111, 1, 0, 0, 0, 24.77
0.76, 0.5, 1, 0.111111111111111, 1, 0.333333333333333, 0, 0, 23.93
0.76, 0.5, 1, 0.111111111111111, 1, 0.666666666666667, 0, 0, 24.77
0.76, 0.5, 1, 0.111111111111111, 1, 1, 0, 0, 23.93
0.74, 0.583333333333333, 0, 1, 0, 0, 0, 0, 6.07
0.74, 0.583333333333333, 0, 1, 0, 0.333333333333333, 0, 0, 6.05
0.74, 0.583333333333333, 0, 1, 0, 0.666666666666667, 0, 0, 6.01
0.74, 0.583333333333333, 0, 1, 0, 1, 0, 0, 6.04
0.71, 0.666666666666667, 0.142857142857143, 1, 0, 0, 0, 0, 6.37
0.71, 0.666666666666667, 0.142857142857143, 1, 0, 0.333333333333333, 0, 0, 6.4
0.71, 0.666666666666667, 0.142857142857143, 1, 0, 0.666666666666667, 0, 0, 6.366
0.71, 0.666666666666667, 0.142857142857143, 1, 0, 1, 0, 0, 6.4
0.69, 0.75, 0.285714285714286, 1, 0, 0, 0, 0, 6.85
0.69, 0.75, 0.285714285714286, 1, 0, 0.333333333333333, 0, 0, 6.79
0.69, 0.75, 0.285714285714286, 1, 0, 0.666666666666667, 0, 0, 6.77
0.69, 0.75, 0.285714285714286, 1, 0, 1, 0, 0, 6.81
0.66, 0.833333333333333, 0.428571428571429, 1, 0, 0, 0, 0, 7.18
0.66, 0.833333333333333, 0.428571428571429, 1, 0, 0.333333333333333, 0, 0, 7.1
0.66, 0.833333333333333, 0.428571428571429, 1, 0, 0.666666666666667, 0, 0, 7.1
0.66, 0.833333333333333, 0.428571428571429, 1, 0, 1, 0, 0, 7.1
0.64, 0.916666666666667, 0.571428571428571, 1, 0, 0, 0, 0, 10.85
0.64, 0.916666666666667, 0.571428571428571, 1, 0, 0.333333333333333, 0, 0, 10.54
0.64, 0.916666666666667, 0.571428571428571, 1, 0, 0.666666666666667, 0, 0, 10.77
0.64, 0.916666666666667, 0.571428571428571, 1, 0, 1, 0, 0, 10.56
0.62, 1, 0.714285714285714, 1, 0, 0, 0, 0, 8.6
0.62, 1, 0.714285714285714, 1, 0, 0.333333333333333, 0, 0, 8.49
0.62, 1, 0.714285714285714, 1, 0, 0.666666666666667, 0, 0, 8.45
0.62, 1, 0.714285714285714, 1, 0, 1, 0, 0, 8.5
0.98, 0, 0.285714285714286, 0, 1, 0, 0.25, 0.2, 24.58
0.98, 0, 0.285714285714286, 0, 1, 0.333333333333333, 0.25, 0.2, 24.63
0.98, 0, 0.285714285714286, 0, 1, 0.666666666666667, 0.25, 0.2, 24.63
0.98, 0, 0.285714285714286, 0, 1, 1, 0.25, 0.2, 24.59
0.9, 0.166666666666667, 0.428571428571429, 0.111111111111111, 1, 0, 0.25, 0.2, 29.03
0.9, 0.166666666666667, 0.428571428571429, 0.111111111111111, 1, 0.333333333333333, 0.25, 0.2, 29.87
0.9, 0.166666666666667, 0.428571428571429, 0.111111111111111, 1, 0.666666666666667, 0.25, 0.2, 29.14
0.9, 0.166666666666667, 0.428571428571429, 0.111111111111111, 1, 1, 0.25, 0.2, 28.09
0.86, 0.25, 0.285714285714286, 0.333333333333333, 1, 0, 0.25, 0.2, 26.28
0.86, 0.25, 0.285714285714286, 0.333333333333333, 1, 0.333333333333333, 0.25, 0.2, 26.91
0.86, 0.25, 0.285714285714286, 0.333333333333333, 1, 0.666666666666667, 0.25, 0.2, 26.37
0.86, 0.25, 0.285714285714286, 0.333333333333333, 1, 1, 0.25, 0.2, 25.27
0.82, 0.333333333333333, 0.428571428571429, 0.333333333333333, 1, 0, 0.25, 0.2, 23.53
0.82, 0.333333333333333, 0.428571428571429, 0.333333333333333, 1, 0.333333333333333, 0.25, 0.2, 24.03
0.82, 0.333333333333333, 0.428571428571429, 0.333333333333333, 1, 0.666666666666667, 0.25, 0.2, 23.54
0.82, 0.333333333333333, 0.428571428571429, 0.333333333333333, 1, 1, 0.25, 0.2, 22.58
0.79, 0.416666666666667, 0.571428571428571, 0.333333333333333, 1, 0, 0.25, 0.2, 35.56
0.79, 0.416666666666667, 0.571428571428571, 0.333333333333333, 1, 0.333333333333333, 0.25, 0.2, 37.12
0.79, 0.416666666666667, 0.571428571428571, 0.333333333333333, 1, 0.666666666666667, 0.25, 0.2, 36.9
0.79, 0.416666666666667, 0.571428571428571, 0.333333333333333, 1, 1, 0.25, 0.2, 35.94
0.76, 0.5, 1, 0.111111111111111, 1, 0, 0.25, 0.2, 32.96
0.76, 0.5, 1, 0.111111111111111, 1, 0.333333333333333, 0.25, 0.2, 32.12
0.76, 0.5, 1, 0.111111111111111, 1, 0.666666666666667, 0.25, 0.2, 32.94
0.76, 0.5, 1, 0.111111111111111, 1, 1, 0.25, 0.2, 32.21
0.74, 0.583333333333333, 0, 1, 0, 0, 0.25, 0.2, 10.36
0.74, 0.583333333333333, 0, 1, 0, 0.333333333333333, 0.25, 0.2, 10.43
0.74, 0.583333333333333, 0, 1, 0, 0.666666666666667, 0.25, 0.2, 10.36
0.74, 0.583333333333333, 0, 1, 0, 1, 0.25, 0.2, 10.39
0.71, 0.666666666666667, 0.142857142857143, 1, 0, 0, 0.25, 0.2, 10.71
0.71, 0.666666666666667, 0.142857142857143, 1, 0, 0.333333333333333, 0.25, 0.2, 10.8
0.71, 0.666666666666667, 0.142857142857143, 1, 0, 0.666666666666667, 0.25, 0.2, 10.7
0.71, 0.666666666666667, 0.142857142857143, 1, 0, 1, 0.25, 0.2, 10.75
0.69, 0.75, 0.285714285714286, 1, 0, 0, 0.25, 0.2, 11.11
0.69, 0.75, 0.285714285714286, 1, 0, 0.333333333333333, 0.25, 0.2, 11.13
0.69, 0.75, 0.285714285714286, 1, 0, 0.666666666666667, 0.25, 0.2, 11.09
0.69, 0.75, 0.285714285714286, 1, 0, 1, 0.25, 0.2, 11.16
0.66, 0.833333333333333, 0.428571428571429, 1, 0, 0, 0.25, 0.2, 11.68
0.66, 0.833333333333333, 0.428571428571429, 1, 0, 0.333333333333333, 0.25, 0.2, 11.69
0.66, 0.833333333333333, 0.428571428571429, 1, 0, 0.666666666666667, 0.25, 0.2, 11.7
0.66, 0.833333333333333, 0.428571428571429, 1, 0, 1, 0.25, 0.2, 11.69
0.64, 0.916666666666667, 0.571428571428571, 1, 0, 0, 0.25, 0.2, 15.41
0.64, 0.916666666666667, 0.571428571428571, 1, 0, 0.333333333333333, 0.25, 0.2, 15.2
0.64, 0.916666666666667, 0.571428571428571, 1, 0, 0.666666666666667, 0.25, 0.2, 15.42
0.64, 0.916666666666667, 0.571428571428571, 1, 0, 1, 0.25, 0.2, 15.21
0.62, 1, 0.714285714285714, 1, 0, 0, 0.25, 0.2, 12.96
0.62, 1, 0.714285714285714, 1, 0, 0.333333333333333, 0.25, 0.2, 12.97
